author,title,description,url,source,published_at
,Brazil's Lula puts Ukraine peace on his agenda in China,"(marketscreener.com) President Luiz Inacio Lula da Silva departed Brazil on Tuesday for an official visit to China, where he aims to convince President Xi Jinping to form a group of nations to mediate an end to Russia's war with Ukraine.https://www.marketscreener.com/quote/stock/EMBRAER-S-A-6492875/news/Brazil-s-Lula-puts-Ukraine-peace-on-his-agenda-in-China-43469625/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/quote/stock/EMBRAER-S-A-6492875/news/Brazil-s-Lula-puts-Ukraine-peace-on-his-agenda-in-China-43469625/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
Owen Lloyd,Russia claims China among 16 countries to compete at university sports event in Yekaterinburg,The Russian Ministry of Sports has claimed that 16 countries have confirmed their participation f...,https://www.insidethegames.biz/articles/1135820/russia-university-sports-festival,insidethegames,2023-04-11
ROB GILLIES,"Trudeau provides more Ukraine aid, dismisses site being down",Canadian Prime Minister Justin Trudeau have announced more military aid to support Ukraine in its war with Russia while hosting Ukrainian Prime Minister Denys Shmyhal in Toronto,https://www.sandiegouniontribune.com/news/nation-world/story/2023-04-11/trudeau-provides-more-ukraine-aid-dismisses-site-being-down,signonsandiego,2023-04-11
,Ukraine updates: Russia begins military drills in the Arctic,"Soldiers, ships and planes are taking part in the military exercise in Russia's icy northern sea. Meanwhile, the UK has said Russia is likely beefing up its airborne forces. DW has the latest.",https://www.dw.com/en/ukraine-updates-russia-begins-military-drills-in-the-arctic/a-65276843?maca=en-rss-en-eu-2092-rdf,Deutsche Welle,2023-04-11
,Terrifying moment scientists run for cover under their snowmobiles as Russian volcano erupts,"Shiveluch, the biggest and most active of Kamchatka's volcanoes, erupted early this morning, spreading thick ash over 41,700 square miles.",https://www.dailymail.co.uk/news/article-11961461/Terrifying-moment-scientists-run-cover-snowmobiles-Russian-volcano-erupts.html?ns_mchannel=rss&ito=1490&ns_campaign=1490,dailymail,2023-04-11
Howard Solomon,Breaking News: DDoS attacks block PM Trudeau’s web site,"A pro-Russian threat group is believed to be behind a distributed denial of service (DDoS) attack that has blocked access to Prime Minister Justin Trudeau&#8217;s official web site. The attack appears to have been timed to coincide with the government&#8217;s meeting today with Ukrainian Prime Minister Denys Shmyhal. As of 1:30 p.m. Eastern, the Canadian",https://www.itworldcanada.com/article/breaking-news-ddos-attacks-block-pm-trudeaus-web-site/536110,itworldcanada,2023-04-11
,Ukraine bids farewell to fallen opera conductor,(marketscreener.com) Tearful mourners bid farewell on Tuesday to a celebrated Ukrainian opera conductor who was killed fighting Russian forces in eastern Ukraine.https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Ukraine-bids-farewell-to-fallen-opera-conductor-43469467/?utm_medium=RSS&utm_content=20230411,https://www.marketscreener.com/quote/currency/US-DOLLAR-RUSSIAN-ROUBL-2370597/news/Ukraine-bids-farewell-to-fallen-opera-conductor-43469467/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
Brian Fagioli,Microsoft brings PC Game Pass to 40 additional countries,"Microsoft may be an American company, but make no mistake, the Windows-maker will happily accept money from consumers in any country. An so, today, Microsoft announces its popular PC Game Pass service is expanding to 40 new countries, opening up the platform to millions of gamers around the world. The service will now be available in new countries including Albania, Bolivia, Costa Rica, Croatia, Cyprus, Estonia, Guatemala, Iceland, Kuwait, Latvia, Libya, Liechtenstein, Malta, Oman, Panama, Peru, Qatar, Romania, Serbia, Slovenia, Tunisia, Ukraine, and more. With this new expansion, Microsoft is...",https://betanews.com/2023/04/11/microsoft-pc-game-pass-40-country/,betanews,2023-04-11
Online News Editor,Kamchatcka eruption in Russia produces amount of ash in 60 years,"Moscow, Apr 11 (EFE).- A volcanic eruption on the Kamchatka peninsula in Russia’s Far East has sent a huge cloud into the sky, covering several nearby towns in the largest amount of volcanic ash in 60 years, a Russian volcanologist said Tuesday. &#8220;The previous ash fallout of such magnitude in Kliuchi – the nearest town &#8230;The post Kamchatcka eruption in Russia produces amount of ash in 60 years appeared first on La Prensa Latina Media.",https://www.laprensalatina.com/kamchatcka-eruption-in-russia-produces-amount-of-ash-in-60-years/,Prensa latina,2023-04-11
,"Canada pledges fresh military aid for Ukraine, sanctions on Russia","(marketscreener.com) Canada on Tuesday imposed new sanctions over Russia's invasion in Ukraine and pledged fresh military support for Kyiv, Prime Minister Justin Trudeau said after meeting Ukrainian Prime Minister Denys Shmyhal in Toronto.https://www.marketscreener.com/news/latest/Canada-pledges-fresh-military-aid-for-Ukraine-sanctions-on-Russia--43469395/?utm_medium=RSS&utm_content=20230411",https://www.marketscreener.com/news/latest/Canada-pledges-fresh-military-aid-for-Ukraine-sanctions-on-Russia--43469395/?utm_medium=RSS&utm_content=20230411,4-traders,2023-04-11
