Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
47.9646928,37.8380793,2021-11-14,Donetsk,Donetsk Oblast,UA,targeted,intimidation_score,https://kyivindependent.com/national/bellingcat-secret-donetsk-torture-prison-is-controlled-by-russia
48.1031637,38.5920837,2021-11-16,NA,Donbas,UA,air,loitering_munition_score,https://kyivindependent.com/national/ukraines-military-intercepts-russian-drone-in-donbas
46.482526,30.7233095,2021-11-21,Odesa,Odessa Oblast,UA,land,direct_fire_score,https://kyivindependent.com/national/ukraines-defense-intelligence-chief-russia-is-preparing-to-attack-in-late-january
48.6683422,38.4835738,2021-11-21,Katerynivka,Luhansk Oblast,UA,land,indirect_fire_score,https://kyivindependent.com/national/russian-led-militants-shell-2-ukrainian-villages
48.1031637,38.5920837,2021-11-21,NA,Donbas,UA,blast,uxo_score,https://kyivindependent.com/national/protesters-demand-dismissal-of-zelenskys-chief-of-staff-yermak
48.1031637,38.5920837,2021-12-03,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/defense-minister-reznikov-russia-might-use-94300-troops-to-invade-ukraine
48.1031637,38.5920837,2021-12-05,NA,Donbas,UA,air,uav_score,https://kyivindependent.com/national/bloomberg-turkey-ready-to-sell-over-20-bayraktar-drones-to-ukraine
48.136596,37.7491335,2021-12-07,Avdiivka,Donetsk Oblast,UA,land,indirect_fire_score,https://kyivindependent.com/national/russia-brings-more-tanks-artillery-to-ukrainian-border
48.1031637,38.5920837,2021-12-09,NA,Donbas,UA,land,direct_fire_score,https://kyivindependent.com/national/javelin-anti-tank-missiles-seen-deployed-to-donbas
48.1031637,38.5920837,2021-12-13,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/us-think-tank-russia-unlikely-to-invade-ukraine-wants-to-force-concessions
48.1031637,38.5920837,2021-12-15,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/why-russia-wants-autonomy-for-occupied-donbas-explainer
50.4501,30.5234,2021-12-16,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/sbu-busts-islamic-state-cell-kyiv
48.1031637,38.5920837,2021-12-17,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/us-senate-introduces-bill-to-give-ukraine-450-million-in-military-aid-in-2022
48.1031637,38.5920837,2021-12-16,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/russian-court-openly-documents-moscows-military-presence-in-donbas
48.1031637,38.5920837,2021-12-24,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/putins-press-conference-statements-about-ukraine-debunked
48.1031637,38.5920837,2021-12-27,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/kyiv-to-create-territorial-defense-headquarters-ahead-of-russias-potential-invasion
48.1031637,38.5920837,2021-12-28,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/ukraine-daily-dec-28
48.1031637,38.5920837,2021-12-29,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/ukraine-daily-dec-29
48.3800938,37.9336111,2021-12-31,Shumy,Donetsk Oblast,UA,land,direct_fire_score,https://kyivindependent.com/national/these-ukrainian-soldiers-were-killed-in-donbas-in-2021
48.1031637,38.5920837,2022-01-04,NA,Donbas,UA,air,surface_to_air_score,https://kyivindependent.com/national/ukraine-daily-jan-3-news-round-up-2
48.1031637,38.5920837,2022-01-06,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/ukraine-daily-jan-5-news-round-up
48.1031637,38.5920837,2022-01-06,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/court-seizes-poroshenkos-assets-in-treason-case
48.1031637,38.5920837,2022-01-07,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/ukraine-daily-jan-6-news-round-up
48.1031637,38.5920837,2022-01-10,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/court-extends-medvedchuks-house-arrest-in-treason-case
48.1031637,38.5920837,2022-01-14,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/russian-military-runs-combat-readiness-tests-in-far-east
48.1031637,38.5920837,2022-01-15,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/russian-led-militants-release-toxic-ammonia-in-donbas-provoking-red-flag-fears
48.1031637,38.5920837,2022-01-17,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/ukraine-daily-weekend-news-round-up
48.1031637,38.5920837,2022-01-18,NA,Donbas,UA,security,military_exercise_score,https://kyivindependent.com/national/russia-moves-troops-to-belarus-ahead-of-february-joint-military-drills
49.9935,36.230383,2022-01-19,Kharkiv,Kharkiv Oblast,UA,security,arrest_score,https://kyivindependent.com/national/white-house-russia-was-preparing-evacuation-from-kyiv-embassy-amid-rising-tensions
50.4501,30.5234,2022-01-20,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/jan-19-news-wrap-up
49.9935,36.230383,2022-01-22,Kharkiv,Kharkiv Oblast,UA,security,arrest_score,https://kyivindependent.com/national/jan-21-news-wrap-up
50.4501,30.5234,2022-01-24,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/uk-begins-to-withdraw-non-essential-embassy-staff-eu-wont-do-the-same-says-borell
48.1031637,38.5920837,2022-01-25,NA,Donbas,UA,land,direct_fire_score,https://kyivindependent.com/national/us-delivers-300-more-javelins-to-ukraine
50.6199,26.251617,2022-01-26,Rivne,Rivne Oblast,UA,security,arrest_score,https://kyivindependent.com/national/jan-25-news-wrap-up
50.4501,30.5234,2022-01-26,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/us-nato-dont-cave-in-to-russian-demands
48.464717,35.046183,2022-01-27,Dnipro,Dnipropetrovsk Oblast,UA,security,arrest_score,https://kyivindependent.com/national/conscript-arrested-after-allegedly-killing-5-people-in-unprecedented-shooting-spree
48.1031637,38.5920837,2022-01-29,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/embassy-advice-guide-for-foreign-citizens-in-ukraine
48.1031637,38.5920837,2022-01-31,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/want-to-help-ukraines-military-as-a-foreigner-heres-what-you-can-do
48.1031637,38.5920837,2022-01-30,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/weekend-news-wrap-up-2
46.975033,31.994583,2022-02-01,Mykolaiv,Mykolaiv Oblast,UA,security,arrest_score,https://kyivindependent.com/national/uks-defense-aid-to-ukraine-skyrockets-amid-russia-threat
49.9742883,23.5488713,2022-02-03,Starychi,Lviv Oblast,UA,security,arrest_score,https://kyivindependent.com/national/canadian-military-veteran-wants-his-country-to-act-on-ukraine
50.4501,30.5234,2022-02-02,Kyiv,Kyiv City,UA,air,fixed_wing_score,https://kyivindependent.com/national/dutch-pm-urges-justice-for-mh17-victims-pushes-to-continue-dialogue-with-russia
50.4501,30.5234,2022-02-07,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/will-russia-launch-large-scale-war-or-limited-invasion-analysis-of-3-popular-scenarios
51.4045032,30.0542331,2022-02-05,Pryp'yat',Kyiv Oblast,UA,security,military_exercise_score,https://kyivindependent.com/national/ukraine-holds-urban-warfare-drills-in-chornobyl-zone
48.1031637,38.5920837,2022-02-09,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/is-ukraine-ready-for-cyberwar-with-russia-fears-mount-as-military-build-up-continues
48.1031637,38.5920837,2022-02-13,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/center-for-defense-strategies-can-ukraine-really-be-invaded-scenarios-for-a-russian-attack-analysis
50.4501,30.5234,2022-02-14,Kyiv,Kyiv City,UA,security,arrest_score,https://kyivindependent.com/national/scholz-warns-moscow-of-wide-reaching-consequences-stays-silent-on-nord-stream-2
48.1031637,38.5920837,2022-02-16,NA,Donbas,UA,blast,uxo_score,https://kyivindependent.com/national/russian-disinformation-targets-western-support
48.7424239,38.373749,2022-02-17,Vrubivka,Luhansk Oblast,UA,land,indirect_fire_score,https://kyivindependent.com/national/over-40-shelling-incidents-leave-5-injured-in-donbas
48.1031637,38.5920837,2022-02-19,NA,Donbas,UA,land,indirect_fire_score,https://kyivindependent.com/national/biden-warns-that-putin-decided-to-invade-as-russian-proxies-in-ukraine-appear-to-stage-escalation
48.1031637,38.5920837,2022-02-21,NA,Donbas,UA,blast,uxo_score,https://kyivindependent.com/national/explainer-why-did-putins-regime-engineer-current-military-crisis-over-ukraine
48.1031637,38.5920837,2022-02-19,NA,Donbas,UA,land,indirect_fire_score,https://kyivindependent.com/national/ukrainian-soldier-anton-sidorov-was-killed-by-shelling-in-donbas
48.1031637,38.5920837,2022-02-19,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/russias-proxies-declare-mobilization-amid-heightened-tensions-in-donbas
48.1031637,38.5920837,2022-02-19,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/ukrainians-inside-occupied-donbas-stuck-between-hope-and-fear
48.1031637,38.5920837,2022-02-19,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/zelenskys-full-speech-at-munich-security-conference
48.6798458,39.4672507,2022-02-20,Stanytsia Luhanska,Luhansk Oblast,UA,land,indirect_fire_score,https://kyivindependent.com/national/russia-intensifies-barrage-of-flimsy-yet-dangerous-disinformation
48.1031637,38.5920837,2022-02-21,NA,Donbas,UA,security,arrest_score,https://kyivindependent.com/national/regular-kyivans-get-ready-to-help-repel-russian-attack
48.1031637,38.5920837,2022-02-21,NA,Donbas,UA,targeted,abduction_score,https://kyivindependent.com/national/breaking-russia-recognizes-occupied-regions-in-ukraine-as-independent-states
