KW,Category,Weight
kamikaze,air,1
jet,air,1
fighterjet,air,1
plane,air,1
warplane,air,1
airstrike,air,1
airstrikes,air,1
bomber,air,1
Su-24,air,1
Su-25,air,1
Su-27,air,1
Su-29,air,1
Su-30,air,1
MiG-29,air,1
MiG-31,air,1
drone,air,1
kamakazee,air,1
kamakazeedrone,air,1
Geran-2,air,1
Switchblade,air,1
dogfight,air,1
intercepted,air,0.5
intercepts,air,0.5
shotdown,air,1
MANPADS,air,1
anti-aircraft,air,1
Stringer,air,1
UAS,air,1
Bayraktar,air,1
UAV,air,1
shootdown,air,0.7
helicopter,air,1
helo,air,1
Ka-52,air,1
Mi-8,air,1
Mi-24,air,1
Tu-95,air,1
IED,blast,1
planted,blast,0.5
placed,blast,0.5
explosive,blast,1
explosion,blast,0.75
exploded,blast,0.75
blast,blast,1
detonate,blast,0.75
detonated,blast,0.75
detonation,blast,0.75
minefield,blast,0.75
landmine,blast,1
minefield,blast,1
navalmine,blast,1
seamine,blast,1
anchored,blast,0.5
moored,blast,0.5
free-floating,blast,1
tethered,blast,0.5
remnantsofwar,blast,1
unexploded,blast,1
unexplodedordance,blast,1
UXO,blast,1
fail,blast,0.5
failed,blast,0.5
failure,blast,0.5
assault,land,1
ambush,land,1
clash,land,0.7
shotat,land,0.8
engaged,land,0.8
Stugna-2,land,1
Javelin,land,0.7
ATGM,land,1
Lancet,land,1
T-72,land,1
T-80,land,1
T-14,land,1
shelled,land,1
shelling,land,1
shell,land,1
lobbed,land,0.75
artillery,land,1
rocket,land,1
mortar,land,1
HIMARS,land,1
M777,land,1
155mm,land,1
howitzer,land,1
MLRS,land,1
ship,maritime,1
ship-to-air,maritime,1
ship-to-ship,maritime,1
ship-to-shore,maritime,1
shore-to-ship,maritime,1
warship,maritime,1
cruisemissile,missile,1
ballisticmissile,missile,1
guidedmissile,missile,1
missile,missile,1
drills,security,0.8
arrest,security,0.8
arrested,security,0.8
detain,security,1
detained,security,1
capture,security,0.75
captured,security,0.75
clear,security,0.5
cleared,security,0.5
demine,security,1
dismantle,security,0.6
dismantled,security,0.6
defuse,security,0.5
defused,security,0.5
prisonerexchange,security,1
exchange,security,0.5
prisonerswap,security,1
swap,security,0.5
swapped,security,1
POW,security,1
POWs,security,1
prisonerrelease,security,1
stopped,security,0.5
searched,security,0.6
seized,security,0.8
boarded,security,0.5
interdicted,security,1
interdiction,security,1
checkpoint,security,1
training,security,0.7
alliance,security,0.7
exercise,security,0.8
security,security,1
specialforces,security,0.5
infiltration,security,1
reconnaisance,security,1
raid,security,1
raided,security,1
deployed,security,0.5
redeployed,security,1
withdraw,security,1
retreated,security,1
advanced,security,1
repositioned,security,1
strategicwithdraw,security,1
pullback,security,1
kidnapped,targeted,1
abducted,targeted,1
disappeared,targeted,0.5
hijacked,targeted,1
detain,targeted,1
detained,targeted,1
setfireto,targeted,1
burned,targeted,1
Molotov,targeted,1
assassinate,targeted,1
attemptedassassination,targeted,1
malware,targeted,1
ransomware,targeted,1
hacking,targeted,1
cyber warfare,targeted,1
executed,targeted,1
sentencedtodeath,targeted,1
torture,targeted,1
looted,targeted,1
stole,targeted,1
theft,targeted,1
thieves,targeted,1
murder,targeted,1
murdered,targeted,1
tortured,targeted,1
disable,targeted,1
disrupt,targeted,1
sabotage,targeted,1
disabled,targeted,1
sabotage,targeted,1
destroyed,targeted,0.5
vandalized,targeted,1
defaced,targeted,1
pro-Russian,targeted,0.5
DNR,targeted,0.5
LNR,targeted,0.5
mobilization,security,1
