Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
46.8550216,35.3586996,9/26/2022,Melitopol',Zaporizhia Oblast,UA,air,fixed_wing,https://kyivindependent.com/national/ukraine-war-latest-260-000-russians-flee-country-as-putin-attempts-to-mobilize-men-to-fight-ukraine
48.1031637,38.5920837,2/19/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/ukrainian-soldier-anton-sidorov-was-killed-by-shelling-in-donbas
48.1031637,38.5920837,2/19/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/zelenskys-full-speech-at-munich-security-conference
48.1031637,38.5920837,11/2/2022,,Donbas,UA,security,arrest,https://kyivindependent.com/national/konrad-muzyka-russian-military-in-belarus-within-range-of-ukrainian-artillery-systems
50.5831258,30.4856784,11/24/2022,Vyshhorod,Kyiv Oblast,UA,security,exchange,https://kyivindependent.com/national/ukraine-war-latest-millions-still-without-electricity-after-russias-nov-23-mass-strikes
46.975033,31.994583,2/1/2022,Mykolaiv,Mykolaiv Oblast,UA,security,arrest,https://kyivindependent.com/national/uks-defense-aid-to-ukraine-skyrockets-amid-russia-threat
50.4501,30.5234,4/7/2022,Kyiv,Kyiv city,UA,targeted,abduction,https://kyivindependent.com/national/bucha-massacre-survivors-why-do-russians-hate-us-so-much
50.4501,30.5234,7/26/2022,Kyiv,Kyiv city,UA,missile,,https://kyivindependent.com/national/little-heroes-children-raise-money-to-support-ukraines-fight
48.1031637,38.5920837,2/21/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/breaking-russia-recognizes-occupied-regions-in-ukraine-as-independent-states
48.1031637,38.5920837,8/12/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/why-ukraine-struggles-to-combat-russias-artillery-superiority
46.635417,32.616867,11/10/2022,Kherson,Kherson Oblast,UA,security,arrest,https://kyivindependent.com/national/ukraine-war-latest-ukraine-advances-7-kilometers-in-kherson-direction-liberates-12-nearby-settlements
48.9377177,37.9477328,12/7/2022,Yampil',Donetsk Oblast,UA,land,indirect_fire,https://kyivindependent.com/national/ukraine-war-latest-nato-says-russia-trying-to-freeze-war-in-ukraine-for-bigger-offensive-next-spring
48.1031637,38.5920837,1/4/2022,,Donbas,UA,air,surface_to_air,https://kyivindependent.com/national/ukraine-daily-jan-3-news-round-up-2
48.1031637,38.5920837,8/3/2022,,Donbas,UA,land,indirect_fire,https://kyivindependent.com/national/the-battle-to-end-the-war-ukraine-has-a-chance-to-win-initiative-from-russia
49.233083,28.468217,7/14/2022,Vinnytsia,Vinnytsia Oblast,UA,missile,,https://kyivindependent.com/national/russian-missile-hits-downtown-vinnytsia
