Latitude,Longitude,Date,Town,Oblast,Country,Incident_type,Incident_sub_type,Source_1
47.910483,33.391783,9/16/2022,Kryvyi Rih,Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/16/7367697/
48.0535517,37.3703445,7/29/2022,Hirnyk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/07/29/7360788/
46.482526,30.7233095,9/27/2022,Odesa,Odessa Oblast,UA,security,raid,https://www.pravda.com.ua/eng/news/2022/09/27/7369360/
47.56746,34.394815,8/4/2022,Nikopol',Dnipropetrovsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/08/4/7361792/
50.317117,30.298167,8/13/2022,Boyarka,Kyiv Oblast,UA,land,direct_fire,https://www.pravda.com.ua/eng/news/2022/08/13/7363104/
48.5884808,37.8354218,7/10/2022,Chasiv Yar,Donetsk Oblast,UA,targeted,vandalism,https://www.pravda.com.ua/eng/news/2022/07/10/7357294/
48.418005,38.031116,9/28/2022,Zaitseve,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/28/7369388/
50.3561824,30.0200842,3/9/2022,Yasnohorodka,Kyiv Oblast,UA,security,arrest,https://www.pravda.com.ua/eng/news/2022/03/9/7329619/
46.482526,30.7233095,5/18/2022,Odesa,Odessa Oblast,UA,land,direct_fire,https://www.pravda.com.ua/eng/news/2022/05/18/7346902/
48.9481767,38.4878773,10/30/2022,Severodonetsk,Luhansk Oblast,UA,security,military_exercise,https://www.pravda.com.ua/eng/news/2022/10/30/7374200/
50.7415087,33.4809526,3/6/2022,Romny,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/6/7328663/
49.0218711,22.9913596,3/12/2022,Nyzhnje,Lviv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/12/7330659/
48.7326573,38.4958114,6/7/2022,Hirs'ke,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/7/7350981/
50.6445031,29.9146299,4/7/2022,Borodyanka,Kyiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/7/7337913/
50.747233,25.325383,11/16/2022,NA,Volyn Oblast,UA,missile,,https://www.pravda.com.ua/eng/news/2022/11/16/7376593/
47.7129895,35.5333409,11/25/2022,Komyshuvakha,Zaporizhia Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/11/25/7377989/
48.574041,39.307815,4/10/2022,Luhansk,Luhansk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/04/10/7338661/
51.2409432,33.2050521,4/5/2022,Konotop,Sumy Oblast,UA,targeted,intimidation,https://www.pravda.com.ua/eng/news/2022/04/5/7337220/
51.8449942,34.2728339,9/9/2022,Bachivs'k,Sumy Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/09/9/7366708/
46.975033,31.994583,3/29/2022,Mykolaiv,Mykolaiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/29/7335474/
48.015883,37.80285,5/13/2022,Donetsk,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/05/13/7345849/
49.9935,36.230383,6/10/2022,Kharkiv,Kharkiv Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/06/10/7351620/
47.9422861,37.5040301,3/31/2022,Mar'inka,Donetsk Oblast,UA,land,indirect_fire,https://www.pravda.com.ua/eng/news/2022/03/31/7335995/
