Unnamed: 0,url,title,text,longtitude,latitude,incident_type,sub_category,Date,Latitude,Longitude,Incident_type,Incident_sub_type,GPE,LOC
203.0,https://www.pravda.com.ua/eng/news/2023/03/28/7395497/,"Russia pounds Sumy Oblast, firing grenade launchers around 100 times","A hromada in Sumy Oblast recorded one hundred hits from a grenade launcher on 28 March [a hromada is an administrative unit designating a city, town or village and its adjacent territories – ed.].Source: Sumy Oblast Military Administration on TelegramDetails: Over the past 24 hours, Russian occupiers shelled four hromadas.The Russians deployed an automatic grenade launcher to fire on Bilopillia hromada 90 times and an anti-tank grenade launcher to fire 10 times from the territory of Russia.Yunakivka hromada was attacked three times by mortars. Znob-Novohradske hromada was shelled 14 times, probably from self-propelled artillery. Esman hromada was hit four times using tubed artillery.According to preliminary reports, no consequences of the attacks were observed. Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!We have launched English Twitter! Follow us! ",,,land,indirect_fire,3/28/23,,,,,,
1811.0,https://www.pravda.com.ua/eng/news/2023/03/22/7394500/,US drones change routes over Black Sea after collision with Russian aircraft,"After a collision between a US MQ-9 Reaper drone and two Russian Su-27 jets, US drones continue to fly over the Black Sea, but they have changed their routes, moving away from Crimea.Source: CNN with reference to US officialsDetails: According to CNN, the drone flights have remained in international airspace, but the US has moved its drone flights further away from airspace surrounding the Crimean peninsula and eastern portions of the Black Sea.One of the US officials told CNN that the routes are part of an effort to avoid provocations, as the Biden administration remains careful to avoid an incident that could potentially escalate into a direct conflict between US and Russian forces.The official said the drone flights would continue this way, but the US wants to return to the routes closer to Russian-held territory. The officials also said Russia may try to unilaterally declare a broader closure of airspace around southern and eastern Ukraine in an attempt to force US drone flights further out.  CNN noted that Pentagon press secretary Brigadier General Patrick Ryder confirmed that the US was continuing to operate drones in the Black Sea area, but he declined to say whether the US had changed its routes.We have launched English Twitter! Follow us! ""I’m not going to, for operational security reasons, not going to get into the specifics of routes, missions, timelines, things like that,"" Ryder said.Background:The US Air Force issued a statement on 14 March, in which it was reported that a Russian Su-27 fighterjet had damaged an American MQ-9 Reaper reconnaissance and strike UAV over the Black Sea during an interception, as a result of which the drone had to be sunk.The US National Security Council Coordinator for Strategic Communications, John Kirby, noted that while Russian intercepts of US aircraft over the Black Sea are not uncommon, the episode on 14 March was unique in how ""dangerous, unprofessional and reckless"" Russia’s actions were.The Ministry of Defence of Russia stated on the evening of 14 March that their Su-27 fighterjets had nothing to do with the crash of the MQ-9 Reaper American UAV in the Black Sea. In addition, they said it had approached annexed Crimea and was ""flying in violation"".The US Department of Defense, in turn, said it was working to declassify visual information related to the incident in the international airspace over the Black Sea.The US military posted a video of the Russian Su-27 fighterjet attacking the MQ-9 Reaper American UAV over the Black Sea.CNN previously reported that the US is conducting an assessment of its drone operations in the Black Sea area following the incident. It is taking a close look at UAV routes and assessing how to reduce the risks of conflicts with Russian forces in the region.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,air,uav,3/22/23,,,,,,
3317.0,https://www.pravda.com.ua/eng/news/2023/04/3/7396145/,Tatarsky's murder may be warning to Prigozhin for criticising Kremlin,"Russian officials and propagandists were quick to accuse Ukraine of killing ""war correspondent"" (military blogger) Vladlen Tatarsky (real name: Maxim Fomin), although forces inside Russia may have been involved in his murder, state analysts at the Institute for the Study of War.Source: ISW reportDetails: Analysts cite the words of Yevgeny Prigozhin, the founder of the Wagner PMC, who said that he would not blame the ""Kyiv regime"" for the deaths of Vladlen Tatarsky and Alexander Dugin's daughter Daria, who were killed in an explosion near Moscow in August.""Fomin’s assassination at Prigozhin’s bar is likely part of a larger pattern of escalating internal Russian conflicts involving Prigozhin and Wagner,"" the report reads.ISW states that ""Fomin’s assassination may have been intended as a warning to Prigozhin, who has been increasingly questioning core Kremlin talking points about the war in Ukraine and even obliquely signalling an interest in the Russian presidency, whether in competition with Putin or as his successor.""The ISW also believes that the Russian authorities are likely to use Fomin's murder to increase self-censorship among Russian civil society representatives who question Russia's success in the war in Ukraine.""The assassination is already deepening a divide within the Russian milblogger space, which may ultimately be beneficial to the Kremlin’s efforts to consolidate control of the information space,"" the ISW states. Background: On 2 April, an explosion occurred in a cafe in the centre of St Petersburg that had previously belonged to Yevgeny Prigozhin, owner of the Wagner Group Private Military Company, killing ""war correspondent"" (military blogger) Vladlen Tatarsky and injuring 30 other people.Russian media outlet Interfax reported that Russian security forces had detained Daria Trepova, a resident of St Petersburg, on suspicion of murdering propagandist Vladlen Tatarsky.However, the Fontanka news agency states that the suspect is still being searched for.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,targeted,murder,4/3/23,,,,,,
4041.0,https://www.pravda.com.ua/eng/news/2023/03/27/7395286/,Russia supplies cyber weapons to Iran in exchange for Shahed drones – WSJ,"Russia is supplying Iran with cyber weapons, including digital surveillance tools, in order to get the relatively cheap and effective drones it uses to strike Ukrainian infrastructure facilities.Source: The Wall Street Journal, reports European PravdaDetails: According to the newspaper's sources among US and Iranian officials, cooperation between Moscow and Tehran intensified after the latter agreed to provide, in addition to drones, short-range missiles and tank and artillery rounds.Quote: ""Russian authorities have determined that the benefits of advancing the military relationship with Iran outweigh any downsides,"" WSJ said.Iran is seeking the cyber help along with what US and Iranian officials have said are requests for dozens of elite Russian attack helicopters, jet fighters, and aid with its long-range missile program. According to The Wall Street Journal, the key supplier of cyber services to Iran is the Russian company PROTEI, which has contracts with the Russian Defence Ministry.Since the start of the full-scale war in Ukraine, Russia has provided Iran with communication-surveillance capabilities, as well as eavesdropping devices, advanced photography devices and lie detectors. Software that would allow it to hack the phones and systems of dissidents and adversaries was also mentioned.We have launched English Twitter! Follow us! Iran has long worked to develop its cyber weapons, and Iranian government hackers conduct disinformation campaigns and attack infrastructure in rival countries, such as the US and Saudi Arabia.Since the summer of 2022, Russia has been using Iranian-made Shahed drones in Ukraine, which it claims are Russian drones called Geran. Despite the assertions of Kyiv and the West, Iran has repeatedly denied that it is helping the Russian Federation with weapons, but has admitted that they were sending drones before the start of the full-scale invasion.Since then, the US and other Western countries have consistently imposed sanctions against Iranian companies and people involved in the production of drones and their provision to Russia.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,security,exchange,3/27/23,,,,,,
6418.0,https://www.pravda.com.ua/eng/news/2023/03/28/7395386/,Zelenskyy: Russians have destroyed and damaged about 500 churches in Ukraine,"President Volodymyr Zelenskyy has said that the Russians have destroyed about 500 churches and religious buildings belonging to various denominations during the military aggression.Source: Zelenskyy on FacebookQuote from Zelenskyy: ""Hundreds of religious buildings have been destroyed, damaged or looted as a result of the Russian invasion of Ukraine. All religions and faiths have been affected, including churches, mosques, synagogues, and educational and administrative buildings of religious communities in Ukraine.""Russian terror destroyed hundreds of churches and prayer houses in Ukraine. For 🇷🇺 everything is just a target. But the rockets and artillery of the terrorist state did not break our humanity and faith. 🇺🇦 will win, life will win! pic.twitter.com/6YCxVwHMdp— Володимир Зеленський (@ZelenskyyUa) March 28, 2023Details: According to the president, all these are just targets for Russia. ""But the rockets and artillery of the terrorist state did not break our humanity and faith. Ukraine will win; life will win!"" Zelenskyy stressed.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!We have launched English Twitter! Follow us! ",,,targeted,vandalism,3/28/23,,,,,,
7298.0,https://www.pravda.com.ua/eng/news/2023/03/28/7395488/,Nikopol Military Administration warns city residents of possible false flag operations during nuclear watchdog mission's visit,"The Nikopol District Military Administration has warned the residents of the Nikopol district about the possibility of Russian false flag operations and shelling during the International Atomic Energy Agency’s (IAEA) mission visit to the Zaporizhzhia Nuclear Power Plant (ZNPP) later this week.Source: Yevhen Yevtushenko, head of the Nikopol District Military Administration, on TelegramQuote: ""Something is underway on the other bank of the [Kakhovka] Reservoir [the city of Nikopol is located across the Kakhovka Reservoir from Enerhodar, the ZNPP satellite city – ed.]. The occupiers say that they are preparing for an IAEA visit, and claim there is a possibility of false flag operations organised by Ukraine’s defence forces.I would like to say that there were indeed false flag operations during the [IAEA] mission’s previous visits. But they were carried out by Russian forces, which deployed mortars and tubed artillery to shell Enerhodar and areas in its vicinity. Then they ‘retaliated’ by attacking the cities and villages in the Nikopol district.All this was accompanied by a propaganda campaign undertaken by the Russian ‘disinformation’ media.""Details: The head of the Nikopol District Military Administration has urged the residents of areas near the Kakhovka Reservoir to avoid open areas and heed warnings of shelling.Yevtushenko also called on residents of settlements located near the reservoir to spend the night in shelters or make sure they observe the rule of two walls [a safety rule whereby a person keeps two walls without windows between them and the street during attacks – ed.]We have launched English Twitter! Follow us! He added that the Nikopol district was not shelled or otherwise attacked over the course of Tuesday, 28 March.Background:The Director General of the International Atomic Energy Agency, Rafael Mariano Grossi, is expected to travel to the Zaporizhzhia Nuclear Power Plant (ZNPP) this week.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,land,indirect_fire,3/28/23,,,,,,
13664.0,https://www.pravda.com.ua/eng/news/2023/03/31/7395814/,Air defence down 9 Russian Shahed drones overnight,"Russian forces used 10 Shahed drones for an air attack on Ukraine on the night of 30-31 March. The  air defence forces downed nine of them.Source: General Staff of the Armed Forces of Ukraine on Facebook, information as of 06:00, 31 March 2023Quote: ""The enemy used 10 Shahed-136 attack drones to launch airstrikes, nine of them were destroyed by our defenders.""Details: In addition, according to the information from the General Staff, Russian forces conducted nine missile attacks at night at the civilian infrastructure of Kharkiv, using S-300 anti-aircraft missile systemsLater, the Air Force of the Ukrainian Armed Forces posted a video of the downing of Iranian-made Russian kamikaze drones.It was reported that Shahed UAVs were destroyed by soldiers of the anti-aircraft missile unit and mobile fire groups of the Air Command East (Skhid).Повітряні сили ЗСУ опублікували відео збиття російських дронів-камікадзе іранського виробництва. Відео з Telegram Повітряних сил pic.twitter.com/shhTxS6ZYOWe have launched English Twitter! Follow us! — Українська правда ✌️ (@ukrpravda_news) March 31, 2023Background:Russia deployed kamikaze drones in an attack on Ukraine late on Thursday, 30 March. Russian occupation forces carried out an attack on Kharkiv.Explosions rang out in Zaporizhzhia while an air-raid warning was in force.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,air,loitering_munition,3/31/23,,,,,,
19240.0,https://www.pravda.com.ua/eng/news/2023/04/3/7396143/,Ukraine's Armed Forces repel more than 70 Russian attacks – General Staff report,"The Ukrainian Armed Forces repelled more than 70 Russian attacks on four  fronts on 2 April.Source: General Staff of the Armed Forces of Ukraine on Facebook, information as of 06:00 on 3 April Quote: ""Over the past day, the enemy delivered five missile and 32 air strikes and carried out more than 50 attacks using multiple-launch rocket systems (MLRS).There is a high probability of missile and air strikes throughout Ukraine, as the enemy continues to use terror tactics.The enemy is focusing its main efforts on conducting offensive actions on the Lyman, Bakhmut, Avdiivka and Marinka fronts: more than 70 enemy attacks were repelled. Bakhmut, Avdiivka and Marinka remain in the epicentre of combat actions.""Details: The situation remains unchanged on the Volyn, Polissia, Sivershchyna and Slobozhanshchyna fronts. Over the last day, Russian forces attacked areas in and around Volfyne, Basivka, Riasne and Mezenivka in Sumy Oblast; and Veterynarne, Hatyshche, Velykyi Burluk and Kolodiazne in Kharkiv Oblast.On the Kupiansk front, the settlements of Kamianka, Petro-Ivanivka, Dvorichna, Kutkivka, Zapadne, Masiutivka and Krokhmalne in Kharkiv Oblast and Novoselivske in Luhansk Oblast came under Russian fire.On the Lyman front, over the past day, Russian troops conducted unsuccessful offensive operations near Bilohorivka and Verkhniokamianske. They also deployed artillery to fire in and around Nevske and Bilohorivka in Luhansk Oblast and Torske, Spirne and Rozdolivka in Donetsk Oblast.   On the Bakhmut front, Russian troops do not stop storming Bakhmut, trying to take full control of the city. Ukrainian defenders repelled more than 20 attacks. In addition, Ukrainian defenders repelled a Russian attack near Ivanivske. The settlements of Vasiukivka, Orikhovo-Vasylivka, Novomarkove, Kostiantynivka, Hryhorivka, Bohdanivka, Bakhmut, Ivanivske, Chasiv Yar, Zalizne and New-York in Donetsk Oblast came under Russian fire. On the Avdiivka and Marinka fronts, Russian forces conducted unsuccessful offensive operations near Avdiivka, Pervomaiske and Marinka. Over the past day, Ukrainian troops repelled over 15 Russian attacks near Marinka and Avdiivka alone. In addition, the settlements of Orlivka, Tonenke, Sieverne, Netailove, Krasnohorivka and Heorhiivka in Donetsk Oblast came under Russian fire.On the Shakhtarsk front, over the past day, Pobieda, Novomykhailivka, Vuhledar, Prechystivka, Velyka Novosilka, Vremivka and Neskuchne came under occupiers’ fire.On the Zaporizhzhia and Kherson fronts, the Russians did not conduct any active operations, improving their defensive lines and positions. The occupiers fired at more than 30 settlements located along the contact line, including Olhivske, Huliaipole, Bilohiria, Mala Tokmachka, Novoandriivka and Kamianske, in Zaporizhzhia Oblast; and Zolota Balka, Tomaryne, Kozatske, Ivanivka, Zelenivka, Komyshany, Bilozerka and the city of Kherson.The Ukrainian Air Force carried out eight strikes on clusters of Russian personnel over the day, and the units of Ukraine's Rocket Forces and Artillery hit one command post, three clusters of manpower, three air defence positions and six other important Russian targets.We have launched English Twitter! Follow us! Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,land,indirect_fire,4/3/23,,,,,,
27392.0,https://www.pravda.com.ua/eng/news/2023/03/24/7394981/,"Ukraine's Human Rights Commissioner responds to UN on ""violations"" of Russian prisoners of war rights","Dmytro Lubinets, Ukrainian Parliamentary Commissioner for Human Rights, disagrees with the conclusions of the UN Human Rights Monitoring Mission in Ukraine that the Ukrainian side violates the rights of Russian prisoners of war (POWs) and demands evidence of executions.Source: Lubinets on TelegramDetails: The UN Human Rights Monitoring Mission in Ukraine presented two new reports on 24 March, particularly on the POWs’ treatment and the overall human rights situation in Ukraine in the six months before 31 January 2023.The Ukrainian Parliament Commissioner for Human Rights noted that the mission's findings confirm that Russia has committed mass war crimes on the territory of Ukraine, violated human rights and disregarded all international humanitarian law.The deaths and injuries of civilians, arbitrary detentions, attacks, executions, forcible disappearances, torture, and sexual violence are among the criminal acts that the aggressor commits, Lubinets said.Concerning the treatment of POWs, the Ombudsman asked for evidence of the guilt of the Ukrainian military.Quote: ""It is surprising that during repeated personal meetings with the head of the Mission, Matilda Bogner, and Denise Brown, UN Resident Coordinator in Ukraine, they never raised the issue of the treatment of Russian prisoners of war.We have launched English Twitter! Follow us! In addition, I would like to hear the indisputable facts and arguments on which the Mission's conclusions regarding alleged violations by the Ukrainian side are based.I again emphasise that Ukraine adheres to the Geneva Conventions and international law and is open to international organisations.Russia has criminally invaded our land, killed and abducted Ukrainian citizens and is still blocking access to our prisoners of war. The magnitude of inhuman treatment and torture is being concealed.""Details: Lubinets urged the UN and the international community to pressure Russia and demand access to the places of internment of Ukrainian prisoners of war.Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,security,arrest,3/24/23,,,,,,
36684.0,https://www.pravda.com.ua/eng/news/2023/03/27/7395321/,"Russia irritated by Armenia's intentions to recognise ICC jurisdiction, which wants to arrest Putin","Russia considers Armenia's intention to join the Rome Statute of the International Criminal Court (ICC) unacceptable and warns Yerevan about the consequences of such a step.Source: Russian propaganda outlets TASS and RIA Novosti, with reference to the identical comment ""of a source in the Russian Foreign Ministry""Quote: ""Moscow considers Yerevan's plans to join the Rome Statute of the International Criminal Court against the backdrop of the recent illegal and legally void and null ICC warrants against the Russian leadership absolutely unacceptable,"" the source said.Details: The agency source added that Armenia was warned about the ""extremely negative"" consequences of their possible steps for bilateral relations with Moscow.Background: Last week, Armenia's Constitutional Court declared that the Rome Statute of the International Criminal Court is in line with the country's basic law, paving the way for its ratification.Armenia's Constitutional Court announced its decision a week after the International Criminal Court issued arrest warrants for Russian President Vladimir Putin, finding him guilty of the illegal deportation of thousands of children from Ukraine.The warrant issuance means that Putin could be arrested if he travels to any member state of the International Criminal Court.We have launched English Twitter! Follow us! Journalists fight on their own frontline. Support Ukrainska Pravda or become our patron!",,,security,arrest,3/27/23,,,,,,
